time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,State
2014-11-19 08:57:58.695,14,14,52.33714,4.846545,11.55337,10.61,84.69595,6,5,1416383878,-0.3953857,0.05451965,-0.7948151,-135.1863,59.55095,6.010452,33.13469,32.55225,26,0.01399944,-0.02171595,0.01085611,0.5941839,-0.3239879,-0.0766179,0.008165398,0.004349019,0.0123693,-0.02169575,-0.05176268,-0.02952386,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:57:59.695,15,15,52.33715,4.846711,11.81399,10.01,84.69595,6,5,1416383879,-0.3354187,-0.04621887,-0.9385223,-115.2712,61.93639,2.062088,32.80177,32.21933,26,0.01653237,-0.01685941,0.001359011,0.5992732,-0.331908,-0.02584532,-0.0009848991,0.004448879,0.004641828,0.04978343,-0.081064,-0.01309956,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:00.695,16,16,52.33716,4.84686,11.72592,9.77,84.69595,6,5,1416383880,-0.2848358,-0.006942749,-0.8938751,-108.6041,49.54247,-18.16942,32.5943,32.01187,26,0.01445111,0.006947388,0.002402704,0.6078156,-0.3271698,-0.01879853,-0.007988978,0.01395334,0.01357071,0.03647162,-0.02574017,0.05291323,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:01.695,17,17,52.33717,4.847002,11.32754,9.94,86.76043,6,5,1416383881,-0.2473907,-0.07972717,-0.9165802,-92.08288,49.62897,-21.72971,32.31956,31.73713,26,0.0001280981,0.004867726,-0.008323976,0.6115639,-0.3184884,-0.004360788,-0.01615432,0.01666184,-0.002319436,0.03833286,-0.0972105,0.02901598,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:02.695,18,18,52.33717,4.847159,11.71786,9.94,83.77417,6,5,1416383882,-0.2682037,-0.1160126,-0.9394379,-91.7211,50.51054,-28.56349,32.24633,31.6639,26,0.02394235,-0.01423353,-0.02351172,0.6127912,-0.3128015,0.04455192,0.009077933,-0.005047545,-0.001401502,0.01442078,-0.05513323,0.04046639,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:03.695,19,19,52.33718,4.847314,11.34652,10.51,84.73591,6,5,1416383883,-0.3878174,-0.1785431,-0.9112091,-117.8726,42.17882,-36.52788,32.22674,31.6443,26,0.05014892,-0.005474926,0.01212937,0.6210786,-0.3154064,0.04068533,0.02098333,0.0006503005,0.006574975,-0.0002040031,-0.0739194,0.01218532,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:04.695,20,20,52.33718,4.847475,11.3674,11.22,84.73591,6,5,1416383884,-0.3362274,-0.06469727,-0.8934631,-120.0433,42.59367,-32.98444,31.97546,31.39302,26,0.03220934,-0.009878463,0.0002119876,0.6276661,-0.3196151,0.02986678,0.01363299,-0.0005295671,0.006243339,0.02344212,-0.03065402,0.01038018,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:05.696,21,21,52.33719,4.847649,10.93979,11.74,84.73591,6,5,1416383885,-0.2534943,-0.1146088,-0.9821625,-128.6054,45.65321,-33.00125,31.77773,31.19529,26,0.01794118,-0.00721477,-0.009355685,0.6285269,-0.3161381,0.06363122,0.02207147,-0.007825952,0.009473263,-0.1348449,-0.05173764,0.05902381,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:06.696,22,22,52.3372,4.847825,10.91018,12.35,84.85212,6,5,1416383886,-0.2839661,-0.0050354,-0.9178009,-120.6807,45.96432,-20.27858,31.74127,31.15884,26,-0.01458826,-0.01764051,-0.003530286,0.6270444,-0.3206232,0.05558454,-0.04380616,0.001129427,0.01120082,-0.04171293,0.078261,0.03096275,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:07.696,23,23,52.3372,4.848007,10.9122,13.18,84.85212,6,5,1416383887,-0.2939148,-0.05018616,-0.9384308,-125.2115,46.25813,-12.63486,31.56557,30.98313,26,0.01687778,0.004649879,-0.00587014,0.6293076,-0.3252118,0.02464529,0.002849717,0.01142161,-0.0006889053,-0.03454564,-0.01986709,0.05790627,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:08.696,24,24,52.33721,4.848195,10.55209,13.36,84.85212,6,5,1416383888,-0.2836914,-0.02355957,-0.9649506,-114.0136,44.46043,-3.556839,31.36928,30.78684,26,-0.002548113,-0.01185586,-0.001132642,0.6337428,-0.3201308,0.02200018,-0.006024742,-0.01135382,0.01926167,-0.05939365,0.01761914,0.0356345,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:09.695,25,25,52.33722,4.848372,10.76321,13.62,84.50031,6,5,1416383889,-0.2792969,0.03778076,-0.951004,-15.97138,41.74652,-0.26651,31.10083,30.51839,26,-0.003897536,-0.01907436,0.006012619,0.6367751,-0.3130113,0.01050963,-0.01546141,-0.01808664,-0.004723802,0.004548031,0.04661173,-0.04038691,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:10.695,26,26,52.33723,4.84858,10.62704,13.69,84.50031,6,5,1416383890,-0.3552856,-0.02619934,-0.9235687,-10.32073,49.93997,2.365799,30.85305,30.27062,26,0.02386325,-0.01088168,-0.006935404,0.6403264,-0.3190938,0.01498911,0.01861838,0.01113332,-0.001461109,-0.02655425,-0.05514085,0.02222837,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:11.695,27,27,52.33725,4.848774,9.572842,14.09,84.50031,6,5,1416383891,-0.3094635,0.04600525,-0.9823761,-9.597191,50.35481,2.534531,30.67901,30.09657,26,0.02256257,-0.01453074,0.0001906823,0.6438953,-0.3172943,0.001046606,-0.01279353,-0.005359943,0.008903176,-0.003737931,0.05428452,0.02681898,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:12.695,28,28,52.33726,4.848987,9.939907,14.06,84.50031,6,5,1416383892,-0.2730865,0.03968811,-0.9279938,-9.424911,51.46104,2.129562,30.35003,29.7676,26,0.01558295,-0.002475674,-0.005837116,0.6477057,-0.3150112,-0.02785525,-0.00805599,0.005394772,0.000413873,0.01373218,0.01031058,0.001602048,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:13.695,29,29,52.33726,4.849189,9.758572,13.54,84.75165,6,5,1416383893,-0.3308411,0.05647278,-0.9616089,-10.21736,51.18451,1.690903,30.01539,29.43296,26,0.01890365,-0.01344071,0.01083454,0.6515011,-0.3139597,-0.03893993,-0.01195954,-0.01985743,0.01906095,0.01716552,0.001154748,0.03309978,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:14.695,30,30,52.33727,4.849393,10.06149,13.2,84.75165,6,5,1416383894,-0.3052826,0.02851868,-0.9211731,-9.47657,51.582,1.741547,29.66833,29.0859,26,0.02275325,-0.003745203,-0.005794772,0.6569804,-0.3149103,-0.04381539,-0.004047802,0.007570497,0.0005280775,-0.03947358,0.01143545,-0.00383898,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:15.695,31,31,52.33728,4.849581,9.364101,12.83,84.75165,6,5,1416383895,-0.3439178,-0.009002686,-0.9279175,-10.38963,52.08328,2.66954,29.37723,28.7948,26,0.01065185,-0.01079725,-0.002259426,0.6590736,-0.3181282,-0.03394896,0.009071871,-0.009263868,0.003640231,-0.01345605,-0.01721881,0.004313711,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:16.695,32,32,52.33729,4.849771,9.397732,12.89,84.47857,6,5,1416383896,-0.3235016,-0.0219574,-0.9662781,-8.253403,49.00639,2.500748,29.25107,28.66863,26,0.01071842,-0.007196927,-0.004649613,0.6570123,-0.3164409,-0.01079025,-0.007203047,0.01124218,-0.001569477,-0.02142783,-0.03895777,0.04421151,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:17.695,33,33,52.3373,4.849959,8.607327,12.89,84.47857,6,5,1416383897,-0.3000946,-0.008636475,-0.9099731,-9.045876,52.01413,1.184616,29.29777,28.71533,26,0.0153486,-0.01449745,0.003710849,0.6538374,-0.3183419,-0.003845522,-0.004639923,0.01001674,-0.002913733,-0.01939235,0.004958809,-0.03322251,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:18.695,34,34,52.3373,4.850147,8.817104,13,84.47857,6,5,1416383898,-0.3147125,0.0244751,-0.8913116,-11.02702,51.44371,1.640228,29.33651,28.75407,26,0.01186172,-0.007303453,0.002469017,0.6529216,-0.3201856,-0.0206141,-0.005025118,-0.00204323,0.008906416,0.03881226,0.01379593,0.01998974,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:19.696,35,35,52.33731,4.85032,8.221645,12.76,84.47857,8,5,1416383899,-0.3094482,0.03311157,-0.9500275,-10.63081,50.2164,1.555832,29.32044,28.73801,26,0.01322126,-0.005878395,-0.01649828,0.6509277,-0.3219966,-0.02794572,-0.005021145,-0.001897001,-0.003064669,-0.02370446,-0.0128664,0.04334309,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:20.695,36,36,52.33733,4.8505,8.98904,12.57,84.78671,8,5,1416383900,-0.2900238,0.0004882812,-0.9243622,-10.16565,51.27083,0.8977814,29.38629,28.80386,26,0.0107147,-0.004879444,7.909589e-05,0.6494626,-0.3198513,-0.01263024,-0.004518692,0.0183481,-0.004555522,0.0197531,-0.008708397,-0.01018989,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:21.695,37,37,52.33735,4.850681,8.886684,12.71,84.78671,8,5,1416383901,-0.2924652,0.005157471,-0.9126892,-9.545464,51.78944,1.100281,29.47169,28.88926,26,-0.02365313,0.02053856,-0.003785684,0.6488913,-0.3218143,-0.01750511,-0.06403407,0.029753,-0.009933965,0.006242253,0.005612851,-0.001860635,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:22.696,38,38,52.33736,4.850864,8.338039,12.58,84.78671,8,5,1416383902,-0.307251,0.01741028,-0.9350586,-10.14842,51.35724,1.657104,29.5124,28.92997,26,0.02393303,-0.003789678,-0.003417901,0.6483163,-0.3214218,-0.03004978,-0.02022298,-0.0005892079,-0.001468876,0.02034784,0.006621608,0.03982005,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:23.695,39,39,52.33737,4.851049,8.241543,12.58,84.78671,8,5,1416383903,-0.3072357,-0.009368896,-0.9277496,-10.23459,51.61656,1.336517,29.51046,28.92803,26,0.01544261,-0.01085052,-0.002235458,0.6468863,-0.3173744,-0.01957895,0.01222218,0.004889378,0.005686485,0.003679008,-0.007736876,0.0173656,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:24.695,40,40,52.33738,4.851219,9.468594,12.22,84.78671,8,5,1416383904,-0.3275452,-0.03178406,-0.9089966,-9.717758,51.75485,1.167786,29.60454,29.0221,26,0.01940779,0.006014749,-0.02127493,0.6459135,-0.312463,0.003796273,-0.0006651559,-0.002133727,-0.001540994,0.02613584,-0.04376538,0.06081013,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:25.696,41,41,52.33739,4.851399,9.54092,12.75,84.78671,8,5,1416383905,-0.3389587,-0.04708862,-0.9243164,-10.16567,51.09799,1.235275,29.78469,29.20226,26,0.01173868,-0.02029755,-0.004572115,0.6452641,-0.3220636,0.02677552,-0.003589105,0.008457141,-0.006435352,-0.02254749,-0.0203163,0.02392785,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:26.696,42,42,52.3374,4.851596,10.25003,13.22,84.99417,8,5,1416383906,-0.3482208,-0.0201416,-0.9069214,-10.114,50.38924,1.927032,29.99178,29.40934,26,0.003450125,-0.007256848,0.005983324,0.6435092,-0.3162632,0.0391406,-0.007032699,-0.002330218,0.0007026654,0.003116086,0.01348059,0.01748641,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:27.695,43,43,52.3374,4.851791,10.69528,13.76,84.99417,8,5,1416383907,-0.3194122,-0.02165222,-0.9390106,-8.563507,51.21899,1.319595,30.08686,29.50443,26,0.0227394,-0.006093579,-0.008152735,0.6442694,-0.3178114,0.01735877,-0.009192865,0.01801841,-0.004089511,-0.02830275,0.002739977,0.01349918,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:28.696,44,44,52.33741,4.851983,11.31491,13.78,84.67236,8,5,1416383908,-0.3562622,-0.04867554,-0.8737946,-9.924484,51.78937,0.7964935,30.12773,29.5453,26,0.008450476,0.003506584,-0.002349174,0.6433794,-0.3176775,0.02594697,-0.02027045,-0.003367366,0.003083042,0.07676709,-0.02296036,0.08271558,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:29.702,45,45,52.33742,4.852197,11.63516,13.78,84.67236,8,5,1416383909,-0.308548,0.00958252,-0.9552765,-10.23458,51.06329,0.6277771,30.18096,29.59853,26,0.01408839,-0.02040195,0.001366468,0.6440722,-0.3153584,0.02471592,-0.01549311,-0.004624198,0.006695137,0.02937707,0.01008022,0.02182131,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:30.695,46,46,52.33743,4.852406,11.41433,14.5,84.67236,8,5,1416383910,-0.2936096,-0.0342865,-0.8671265,-10.95815,51.61642,0.9651947,30.13401,29.55158,26,0.01547989,-0.006138054,0.001294563,0.6457051,-0.3137106,0.01074014,-0.009259664,0.01208553,0.0007480269,0.002450594,0.03254474,0.02302437,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:31.695,47,47,52.33744,4.852617,11.71811,14.5,85.04726,8,5,1416383911,-0.383255,-0.008514404,-0.9475098,-11.07874,51.94487,1.488266,30.05613,29.4737,26,0.01313924,-0.006018212,-0.00582966,0.6458406,-0.3201967,0.01305088,-0.009638439,-0.005794812,0.007918673,0.0430742,-0.01417117,0.03126128,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:32.695,48,48,52.33745,4.852821,12.93435,14.81,85.04726,8,5,1416383912,-0.2948151,0.0289917,-0.9254456,-12.16409,51.16702,2.247559,30.02474,29.4423,26,0.0224848,-0.01698804,0.006130597,0.6444862,-0.3199476,-0.001116688,-0.001202064,0.002708343,-0.005146635,0.02510315,-0.00676244,0.05089011,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:33.695,49,49,52.33747,4.853056,13.71322,14.63,85.04726,8,5,1416383913,-0.3789368,0.01832581,-0.9213715,-11.251,50.80405,1.555817,29.98074,29.39831,26,0.004686631,-0.008366587,-0.001116397,0.6411453,-0.3276576,-0.01929092,-0.009531618,0.006288493,-0.00166165,0.0693401,-0.01462053,0.05541779,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:34.696,50,50,52.33747,4.853248,13.56094,14.6,85.04726,8,5,1416383914,-0.3118134,0.002960205,-0.9790497,-11.35439,51.32259,2.09581,30.02055,29.43812,26,0.01903814,-0.01204921,-0.004581969,0.6384324,-0.3319828,-0.0107183,-0.001092647,-0.008205453,0.006675545,-0.01510394,0.0003750446,-0.03546077,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:35.695,51,51,52.33748,4.853458,13.22329,14.59,85.04726,8,5,1416383915,-0.2706604,-0.01608276,-0.9101257,-66.65494,55.60948,9.452789,30.16761,29.58518,26,0.02267069,-0.008535432,-0.003397927,0.6355613,-0.3338942,0.001248779,-0.009238164,-0.005577788,-0.006395716,0.04676433,0.001996459,0.01374227,0.0.0.0,10.167.22.1,5,0
2014-11-19 08:58:36.695,52,52,52.33749,4.853679,12.38717,14.9,84.2486,8,5,1416383916,-0.3030548,0.02856445,-1.060349,-32.35481,45.0134,4.205093,30.33436,29.75193,26,-0.0002308961,-0.003880226,0.02372743,0.6352074,-0.3400285,0.01641404,0.0009519556,0.03332037,0.008816575,-0.1571316,0.01032505,0.1084507,0.0.0.0,10.167.22.1,5,0
